,Title,Price,Rating,Review
0,"Noise Pulse 2 Max 1.85"" Display, Bluetooth Calling Smart Watch, 10 Days Battery, 550 NITS Brightness, Smart DND, 100 Sports Modes, Smartwatch for Men and Women (Jet Black)",1499.0,4.1,49235.0
1,LOUIS DEVIN Silicone Strap Analog Wrist Watch for Men (Black/Blue/Red) | LD-BK054,439.0,3.9,2237.0
2,"Fire-Boltt Lumos Stainless Steel Luxury Smart Watch with 1.91” Large Display, Bluetooth Calling, Voice Assistant, 100+ Sports Modes",1499.0,4.1,40336.0
3,Fastrack Analog Unisex-Adult Watch,764.0,4.1,11166.0
4,Casio Vintage Digital Grey Dial Unisex A-158WA-1Q ( D011 ),1695.0,4.4,37371.0
5,TIMEWEAR Analog Day Date Functioning Stainless Steel Chain Watch for Men,318.0,3.8,11498.0
6,"Noise Twist Round dial Smart Watch with Bluetooth Calling, 1.38"" TFT Display, up-to 7 Days Battery, 100+ Watch Faces, IP68, Heart Rate Monitor, Sleep Tracking (Jet Black)",1399.0,4.0,12560.0
7,"Fire-Boltt Ninja Call Pro Plus 1.83"" Smart Watch with Bluetooth Calling, AI Voice Assistance, 100 Sports Modes IP67 Rating, 240 * 280 Pixel High Resolution",1099.0,4.2,71228.0
8,"Noise Force Rugged & Sporty 1.32"" Bluetooth Calling Smart Watch, 550 NITS, 7 Days Battery, AI Voice Assistance, Smart Watch for Men (Teal Green)",1799.0,3.9,4864.0
9,"Fire-Boltt Lumos Stainless Steel Luxury Smart Watch with 1.91” Large Display, Bluetooth Calling, Voice Assistant, 100+ Sports Modes",1499.0,4.1,40336.0
10,Matrix Antique 2.0 Day & Date Softest Silicone Strap Analog Watch for Men & Boys,299.0,4.4,179.0
11,TIMEX Analog Men's Watch (Dial Colored Strap),957.0,4.1,14885.0
12,"Fire-Boltt Phoenix Smart Watch with Bluetooth Calling 1.3"",120+ Sports Modes, 240 * 240 PX High Res with SpO2, Heart Rate Monitoring & IP67 Rating (Black)",1399.0,4.2,123761.0
13,"Fire-Boltt Talk 2 Pro Ultra 1.39"" Round Display Stainless Steel Luxury Smart Watch, Bluetooth Calling & 360 Health Monitoring, 123 Sports Modes, Inbuilt Voice Assistant (Black)",1799.0,4.2,54524.0
14,Fastrack Analog Black Dial Men's Casual Watch,2045.0,4.2,31.0
15,Fossil Chronograph White Dial Men's Watch-CH2882,5521.0,4.2,3541.0
16,"Matrix Blue, Black & Silver Dial, Day & Date Functioning, Stainless Steel Strap Analog Watch for Men & Women",329.0,3.6,1346.0
17,Fastrack Analog Men's Watch,635.0,4.3,2304.0
18,V2A Chronograph Analogue and Digital Sports Watch for Men | Watch for Men | Wrist Watch for Men | Mens Watch | Watch,799.0,3.8,2749.0
19,Titan Neo Iv Analog Black Dial Men's Watch-NL1805NM01/NP1805NM01,5387.0,4.3,963.0
20,Fastrack Fundamentals Analog Blue Dial Men's Watch-NN38051SM03/NR38051SM03,1255.0,4.2,1407.0
21,Timex Analog Black Dial Men's Watch-TW000U934,2097.0,4.2,4980.0
22,Casio Analog Silver Dial Men's Watch-MTP-V005L-7B5UDF,1646.0,4.4,353.0
23,Titan Analog OffWhite Dial Men's Watch NM1712YM02 / NL1712YM02,2145.0,4.2,2239.0
24,Casio Enticer Analog Dial Watch,5995.0,4.3,5296.0
25,Fastrack Analog Silver Dial Men's Watch-3291SM02/NR3291SM02,1275.0,4.2,59.0
26,SKMEI Men's Watch New Wheels Rolling Creative Fashion Che Youhui League Fans Butterfly Double Snap Gift Wristwatch - 1990,1999.0,4.6,25.0
27,Shocknshop Digital Sports Square Black Dial Stainless Steel Strap Unisex Watch (Black Dial & Silver Colored Strap) -WCH53,688.0,3.5,59.0
28,Titan Neo Economy Analog White Dial Men's Watch-NN1802SL04/NP1802SL04,1995.0,4.5,261.0
29,Titan Analog Gold Dial Men's Watch-9441YM02/NP9441YM02,9345.0,4.8,14.0
30,Fastrack Black Dial Analog Watch for Unisex -38003PP24,647.0,2.0,5.0
31,TOMMY HILFIGER Evan Chronograph Men's Watch - NCTH1710393 (Blue Dial Brown Colored Strap),8575.0,4.5,11.0
32,"Noise Newly Launched Mettalix: 1.4"" HD Display with Metallic Straps and Stainless Steel Finish, BT Calling, Functional Crown, 7 Day Battery, Smart Watch for Men and Women (Elite Silver)",1999.0,4.0,12560.0
33,Casio Leather Edifice Chronograph White Dial Men's Watch-Efr-526L-7Avudf (Ex097),7795.0,4.4,402.0
